DATES,LOCATION,ACTIVITY
06/01/1997 to 09/01/1997,"Maupin, Oregon","Abduction and rape of unknown female
near Maupin, Oregon. June 1 - September
1, 1997"
1/15/2000 to 6/1/2000,Egypt,"Temporary duty assignment - Egypt.
January 15 - June 1, 2000"
1/28/2008,"Anchorage, Alaska to Dallas, Texas to Mobile,
Alabama","American Airlines and Alaska Airlines
flights (Anchorage, Alaska to Dallas,
Texas to Mobile, Alabama). January 28,
2008"
1/28/2008 to 2/6/2008,"Mobile, Alabama","Vehicle rental (Thrifty); 2008 Hyundai
Sonata, Alabama license plate 95B9427;
drove 691 miles - Mobile, Alabama.
January 28 - February 6, 2008"
1/4/2000,"Spokane, Washington","Vehicle rental (Budget) - Spokane,
Washington. January 4, 2000"
10/15/2010,"Anchorage, Alaska to Chicago, Illinois","Alaska Airlines flight (Anchorage, Alaska
to Chicago, Illinois). October 15, 2010"
10/15/2010,"Chicago, Illinois to Boston, Massachusetts","American Airlines flight (Chicago, Illinois to
Boston, Massachusetts). October 15,
2010"
10/15/2010 to 10/25/2010,"Boston, Massachusetts","Vehicle rental (Enterprise) - Boston,
Massachusetts. October 15 - 25, 2010"
10/19/2003,"Port Angeles, Washington","Hotel reservation (Portside Inn) - Port
Angeles, Washington. October 19, 2003"
10/21/2006 to 10/23/2006,"Seattle, Washington to San Diego, California","Alaska Airlines flight (Seattle, Washington
to San Diego, California; round-trip).
October 21 - 23, 2006"
10/21/2010,Maine,In Maine
10/22/2006,"San Ysidro, Mexico to San Diego, California","Pedestrian border crossing - San Ysidro,
Mexico to San Diego, California. October
22, 2006"
10/23/2006,"San Diego, California","Hotel reservation (Quality Inn & Suites) -San Diego, California. October 23, 2006"
10/24/2008,"Anchorage, Alaska to Seattle, Washington","Alaska Airlines flight (Anchorage, Alaska
to Seattle, Washington). October 24, 2008"
10/25/2008,"Minneapolis, Minnesota to Grand Forks, North
Dakota","Northwest Airlines flight (Minneapolis,
Minnesota to Grand Forks, North Dakota).
October 25, 2008"
10/25/2008,"Seattle, Washington to Minneapolis, Minnesota","Northwest Airlines flight (Seattle,
Washington to Minneapolis, Minnesota).
October 25, 2008"
10/25/2010,"Boston, Massachusetts to Chicago, Illinois","American Airlines flight (Boston,
Massachusetts to Chicago, Illinois).
October 25, 2010"
10/25/2010,"Chicago, Illinois to Anchorage, Alaska","Alaska Airlines flight (Chicago to
Anchorage). October 25, 2010"
10/29/2007 to 11/2/2007,"Anchorage, Alaska to Los Angeles, California","Alaska Airlines flight (Anchorage, Alaska
to Los Angeles, California; round-trip).
Vehicle rental; white Mitsubishi Lancer,
California license plate 5WFX008; drove
95 miles, had permission to leave state -Los Angeles. October 29 - November 2,
2007"
10/3/2005 to 10/13/2005,"Los Angeles, California to El Salvador","Taca Airlines flight (Los Angeles,
California to El Salvador; round-trip).
October 3 -13, 2005."
10/30/2008,"Phoenix, Arizona to San Francisco, California","US Airways flight (Phoenix, Arizona to San
Francisco, California). October 30, 2008"
10/31/2008,"San Francisco, California to Seattle, Washington","Alaska Airlines flight (San Francisco,
California to Seattle, Washington).
October 31, 2008"
10/31/2008 to 11/5/2008,"Seattle, Washington","Vehicle rental (Thrifty); 2008 PT Cruiser,
Washington license plate 443XQQ; drove
626 miles. Seattle, Washington. October
31 - November 5, 2008"
